prefix,added,count
#,a,46
#,b,8
#,c,9
#,d,8
#,e,26
#,f,11
#,g,14
#,h,3
#,i,5
#,j,1
#,k,17
#,l,5
#,m,6
#,n,2
#,o,2
#,p,10
#,r,6
#,s,23
#,t,2
#,u,11
#,v,1
#,w,2
#,x,1
#,y,1
#,z,2
a,a,15
a,b,1
a,c,14
a,d,7
a,e,10
a,g,1
a,h,1
a,i,33
a,j,1
a,k,4
a,l,31
a,m,2
a,n,39
a,o,12
a,p,4
a,q,3
a,r,28
a,s,134
a,t,7
a,u,28
a,w,1
a,x,1
a,y,4
a,z,1
b,a,3
b,b,11
b,e,7
b,g,1
b,i,50
b,l,15
b,n,1
b,o,1
b,r,5
b,s,16
b,v,3
c,a,19
c,c,54
c,d,1
c,e,13
c,h,18
c,i,50
c,k,3
c,l,1
c,m,1
c,n,1
c,o,7
c,p,1
c,r,7
c,s,25
c,t,7
c,u,8
c,v,4
c,x,1
d,a,18
d,c,3
d,d,17
d,e,14
d,f,2
d,i,9
d,l,6
d,m,1
d,n,9
d,o,13
d,r,6
d,s,119
d,y,5
e,a,39
e,b,2
e,c,8
e,d,76
e,e,147
e,f,2
e,h,1
e,i,4
e,k,3
e,l,4
e,m,6
e,n,27
e,o,5
e,p,1
e,r,83
e,s,417
e,t,6
e,u,4
e,v,1
e,w,10
e,x,2
e,y,8
f,a,1
f,e,2
f,f,27
f,g,1
f,i,12
f,l,10
f,r,5
f,s,23
f,u,1
f,y,1
g,a,8
g,e,5
g,f,1
g,g,5
g,h,12
g,i,8
g,l,2
g,n,1
g,o,1
g,q,1
g,r,5
g,s,69
g,t,2
g,u,3
g,w,1
h,a,4
h,b,1
h,d,1
h,e,24
h,g,10
h,h,18
h,i,17
h,j,2
h,l,1
h,n,1
h,o,4
h,r,16
h,s,24
h,t,22
h,u,1
h,w,5
h,y,3
i,a,10
i,b,3
i,c,13
i,d,13
i,e,25
i,g,1
i,h,1
i,i,69
i,j,2
i,k,1
i,l,17
i,m,11
i,n,33
i,o,27
i,p,1
i,r,9
i,s,30
i,t,29
i,u,11
i,x,1
i,z,1
j,u,1
k,a,2
k,b,4
k,d,1
k,e,9
k,h,1
k,i,1
k,k,1
k,l,1
k,o,2
k,p,1
k,s,95
k,u,1
k,y,4
l,a,3
l,b,1
l,d,1
l,e,38
l,i,79
l,k,2
l,l,128
l,m,1
l,o,7
l,s,97
l,t,7
l,u,3
l,v,1
l,y,2
m,a,11
m,b,1
m,c,1
m,e,17
m,h,1
m,i,6
m,k,1
m,m,102
m,n,44
m,o,7
m,p,2
m,s,47
m,t,1
m,u,2
m,w,1
n,a,15
n,b,5
n,c,7
n,d,13
n,e,52
n,f,4
n,g,17
n,i,34
n,k,1
n,l,1
n,m,26
n,n,99
n,o,12
n,r,2
n,s,156
n,t,53
n,u,1
n,v,1
n,y,1
o,a,14
o,b,1
o,c,1
o,d,3
o,e,7
o,f,2
o,g,1
o,i,28
o,j,1
o,l,6
o,m,3
o,n,13
o,o,64
o,p,30
o,r,16
o,s,59
o,t,4
o,u,19
o,v,1
o,y,1
o,z,1
p,a,23
p,c,1
p,d,1
p,e,10
p,h,20
p,i,3
p,l,2
p,o,26
p,p,70
p,r,29
p,s,52
p,t,9
p,u,1
p,v,1
p,w,1
q,i,1
q,u,1
r,a,15
r,b,2
r,c,1
r,e,89
r,f,1
r,g,1
r,h,2
r,i,64
r,l,5
r,m,9
r,n,7
r,o,10
r,r,132
r,s,273
r,t,29
r,u,7
r,w,1
r,y,10
s,a,13
s,b,1
s,c,7
s,d,20
s,e,41
s,g,1
s,h,50
s,i,101
s,k,2
s,l,2
s,m,10
s,n,7
s,o,3
s,p,1
s,r,1
s,s,205
s,t,49
s,u,7
s,w,1
s,y,7
t,a,39
t,d,3
t,e,65
t,f,1
t,g,10
t,h,24
t,i,59
t,j,1
t,l,6
t,m,3
t,n,1
t,o,23
t,p,1
t,r,54
t,s,264
t,t,183
t,u,11
t,w,5
t,y,6
u,a,15
u,c,3
u,e,9
u,h,1
u,i,24
u,j,1
u,k,1
u,l,3
u,m,3
u,n,9
u,o,1
u,p,3
u,r,49
u,s,19
u,t,27
u,u,26
u,x,2
u,y,3
v,b,2
v,e,36
v,i,10
v,l,1
v,n,1
v,p,1
v,u,1
v,v,5
v,w,1
w,d,1
w,e,10
w,h,1
w,i,1
w,k,1
w,l,1
w,n,2
w,q,1
w,r,1
w,s,8
w,u,2
w,w,4
x,c,18
x,e,1
x,h,6
x,i,1
x,m,1
x,o,3
x,s,2
x,x,1
y,a,5
y,b,1
y,c,2
y,e,3
y,i,2
y,l,1
y,m,1
y,n,6
y,r,1
y,s,33
y,t,1
y,u,13
y,w,1
y,y,2
z,a,2
z,e,5
z,f,1
z,i,6
z,y,2
z,z,4
