bigram,count
aa,12621
ab,101484
ac,211027
ad,153040
ae,8362
af,39388
ag,121487
ah,17475
ai,132518
aj,5688
ak,42468
al,422353
am,151062
an,695355
ao,6395
ap,99268
aq,5820
ar,453507
as,287257
at,531694
au,56795
av,83785
aw,27557
ax,12074
ay,110475
az,12659
ba,89854
bb,7722
bc,5618
bd,3081
be,179492
bf,1442
bg,1110
bh,2115
bi,57478
bj,8943
bk,463
bl,93369
bm,6996
bn,2334
bo,94192
bp,2923
bq,180
br,49278
bs,29062
bt,5349
bu,76187
bv,1005
bw,1303
bx,425
by,65030
bz,382
ca,237220
cb,3037
cc,39067
cd,10259
ce,250500
cf,3323
cg,2510
ch,225384
ci,99692
cj,645
ck,90895
cl,76729
cm,5206
cn,4362
co,346220
cp,6221
cq,1627
cr,65482
cs,26901
ct,190613
cu,63092
cv,2403
cw,2073
cx,462
cy,26549
cz,935
da,153551
db,40597
dc,29409
dd,42966
de,305682
df,24507
dg,18608
dh,18473
di,219659
dj,5406
dk,3302
dl,23598
dm,27116
dn,16947
do,116791
dp,23316
dq,1491
dr,51400
ds,93088
dt,72401
du,67557
dv,23594
dw,25464
dx,844
dy,21187
dz,584
ea,368968
eb,83544
ec,262760
ed,379359
ee,181070
ef,97248
eg,75937
eh,37480
ei,106428
ej,7622
ek,16715
el,250192
em,196403
en,509960
eo,97427
ep,128201
eq,22779
er,786327
es,641953
et,282388
eu,32069
ev,98793
ew,131938
ex,88100
ey,55530
ez,3776
fa,75382
fb,4904
fc,12149
fd,5920
fe,88649
ff,58884
fg,4290
fh,6260
fi,130293
fj,1371
fk,979
fl,28597
fm,8199
fn,3996
fo,216007
fp,9348
fq,394
fr,95243
fs,14634
ft,86877
fu,40645
fv,1720
fw,5538
fx,624
fy,11373
fz,241
ga,93605
gb,9014
gc,12712
gd,7669
ge,187997
gf,10041
gg,13141
gh,79406
gi,79190
gj,1045
gk,1576
gl,26460
gm,9765
gn,30950
go,72697
gp,10661
gq,457
gr,79337
gs,38982
gt,37940
gu,39364
gv,1590
gw,7748
gx,371
gy,15327
gz,693
ha,271792
hb,6842
hc,10629
hd,6866
he,702452
hf,6226
hg,2883
hh,5146
hi,224537
hj,1253
hk,1334
hl,9344
hm,12044
hn,17614
ho,217910
hp,9854
hq,1431
hr,31740
hs,16610
ht,69451
hu,25220
hv,1772
hw,7298
hx,327
hy,17211
hz,993
ia,125604
ib,38937
ic,301189
id,118103
ie,164459
if,70274
ig,107216
ih,5468
ii,7611
ij,2726
ik,19818
il,201855
im,102052
in,889209
io,302532
ip,54631
iq,4712
ir,112403
is,372874
it,400941
iu,7029
iv,102473
iw,6187
ix,9552
iy,800
iz,22639
ja,27656
jb,411
jc,711
jd,476
je,24718
