prefix,deleted,count
#,a,20
#,b,14
#,c,41
#,d,31
#,e,20
#,f,20
#,g,7
#,h,6
#,i,20
#,j,3
#,k,6
#,l,22
#,m,16
#,n,5
#,o,5
#,p,17
#,r,28
#,s,26
#,t,6
#,u,2
#,v,1
#,w,24
#,z,2
a,b,7
a,c,58
a,d,21
a,e,3
a,f,5
a,g,18
a,h,8
a,i,61
a,k,4
a,l,43
a,m,5
a,n,53
a,p,9
a,r,98
a,s,28
a,t,53
a,u,62
a,v,1
a,y,2
b,a,2
b,b,2
b,c,1
b,e,22
b,i,183
b,l,26
b,o,2
b,r,6
b,s,17
b,u,6
b,v,1
c,a,37
c,c,70
c,e,63
c,h,24
c,i,320
c,k,9
c,l,17
c,o,33
c,r,46
c,s,6
c,t,54
c,u,17
c,y,1
d,a,12
d,c,7
d,d,25
d,e,45
d,g,10
d,i,62
d,j,1
d,k,1
d,l,8
d,m,4
d,n,3
d,o,3
d,r,11
d,s,1
d,u,3
d,v,2
d,y,6
e,a,80
e,b,1
e,c,50
e,d,74
e,e,89
e,f,3
e,g,1
e,h,1
e,i,6
e,l,32
e,m,9
e,n,76
e,o,19
e,p,9
e,q,1
e,r,237
e,s,223
e,t,34
e,u,8
e,v,2
e,w,1
e,x,7
e,y,1
f,a,4
f,e,13
f,f,46
f,i,79
f,l,12
f,o,4
f,r,11
f,t,8
f,u,1
f,y,1
g,a,25
g,d,2
g,e,83
g,f,1
g,g,37
g,h,25
g,i,39
g,l,3
g,n,29
g,o,4
g,r,52
g,s,7
g,t,1
g,u,22
g,y,1
h,a,15
h,b,12
h,c,1
h,d,3
h,e,20
h,h,25
h,i,24
h,l,7
h,m,1
h,n,9
h,o,22
h,r,15
h,s,1
h,t,26
h,w,1
h,y,1
i,a,26
i,b,1
i,c,60
i,d,26
i,e,23
i,f,1
i,g,9
i,i,1
i,l,38
i,m,14
i,n,82
i,o,41
i,p,7
i,r,16
i,s,71
i,t,64
i,u,1
i,v,1
i,y,1
i,z,7
j,e,1
j,n,1
j,o,1
j,u,1
k,a,4
k,d,1
k,e,15
k,f,1
k,g,8
k,h,1
k,i,5
k,k,1
k,l,3
k,n,17
k,r,1
k,s,5
k,w,1
l,a,24
l,c,1
l,d,6
l,e,48
l,i,217
l,l,211
l,m,2
l,o,29
l,r,2
l,s,12
l,t,7
l,u,3
l,v,2
l,y,11
m,a,15
m,b,10
m,e,33
m,h,1
m,i,42
m,m,180
m,n,7
m,o,7
m,p,31
m,s,9
m,u,4
n,a,21
n,c,42
n,d,71
n,e,68
n,f,1
n,g,160
n,i,191
n,m,17
n,n,144
n,o,21
n,s,127
n,t,87
n,u,43
n,v,1
n,w,1
n,y,2
o,a,11
o,b,4
o,c,3
o,d,6
o,e,8
o,g,5
o,i,4
o,j,1
o,l,13
o,m,9
o,n,70
o,o,26
o,p,20
o,r,98
o,s,20
o,t,13
o,u,47
o,v,2
o,w,5
o,y,1
p,a,25
p,e,22
p,h,12
p,i,15
p,l,28
p,m,1
p,o,30
p,p,93
p,r,58
p,s,1
p,t,18
p,u,2
q,u,18
r,a,63
r,b,4
r,c,12
r,d,19
r,e,188
r,g,11
r,h,5
r,i,132
r,k,3
r,l,33
r,m,7
r,n,157
r,o,21
r,p,2
r,r,277
r,s,103
r,t,68
r,v,10
r,w,1
r,y,27
s,a,16
s,c,27
s,e,74
s,f,1
s,h,18
s,i,231
s,l,2
s,m,1
s,o,30
s,p,30
s,r,4
s,s,265
s,t,124
s,u,21
s,y,1
t,a,24
t,b,1
t,c,2
t,e,76
t,f,1
t,g,7
t,h,49
t,i,427
t,l,31
t,m,3
t,n,3
t,o,11
t,p,1
t,r,203
t,s,5
t,t,137
t,u,14
t,w,4
t,y,2
u,a,26
u,b,6
u,c,9
u,d,10
u,e,15
u,g,1
u,i,28
u,l,39
u,m,2
u,n,111
u,o,1
u,r,129
u,s,31
u,t,66
u,y,1
v,a,9
v,e,58
v,i,31
v,o,2
v,r,1
v,y,1
w,a,40
w,d,1
w,e,11
w,f,1
w,h,11
w,i,15
w,l,1
w,n,2
w,o,2
w,r,2
w,s,24
x,a,1
x,c,17
x,e,3
x,h,1
x,p,6
x,t,5
x,y,1
y,a,2
y,b,1
y,c,34
y,e,2
y,g,1
y,i,1
y,l,1
y,m,2
y,n,1
y,o,1
y,p,1
y,s,17
y,t,1
y,w,1
z,a,1
z,e,2
z,z,2
